,price,brand_iro,brand_lululemon,brand_realisationpar,brand_reformation,brand_rouje,brand_sezane,brand_therow,brand_ullajohnson,brand_zimmermann,condition_preowned,category_bras,category_dresses,category_outerwear,category_tops
36978,15.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
36979,20.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
36980,15.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
36981,30.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
36982,35.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
36983,30.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
36984,40.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
36985,28.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
36986,20.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36987,40.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
36988,20.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
36989,25.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
36990,3.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
36991,3.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
36992,13.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
36993,80.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
36994,20.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
36995,20.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
36996,13.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
36997,25.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
36998,22.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
36999,20.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
37000,32.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37001,15.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37002,94.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37003,15.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37004,46.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37005,30.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
37006,15.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
37007,30.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37008,40.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
37009,20.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37010,40.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
37011,20.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
37012,25.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
37013,3.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
37014,3.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
37015,13.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
