,Summary,Price,Size,Brand,Condition,Category,Site
0,reformation off-shoulder long sleeve,30,XS,Reformation,PreOwned,other,Poshmark
1,reformation linen set,98,XS,Reformation,PreOwned,other,Poshmark
2,nwt reformation britta dress,180,4,Reformation,New,dresses,Poshmark
3,reformation gilda green jumpsuit,135,10,Reformation,PreOwned,jumpsuits,Poshmark
4,reformation serena melbourne destroyed jeans,61,29,Reformation,PreOwned,bottoms,Poshmark
5,reformation floral button down dress size 0,125,0,Reformation,PreOwned,dresses,Poshmark
6,reformation off the shoulder dress!,85,0,Reformation,PreOwned,dresses,Poshmark
7,reformation marina blue jumpsuit size 6b704,150,6,Reformation,PreOwned,jumpsuits,Poshmark
8,reformation chamomile maxi wrap dress,250,L,Reformation,PreOwned,dresses,Poshmark
9,reformation radford metallic dress large,75,L,Reformation,PreOwned,dresses,Poshmark
10,diane von furstenberg gennifer two linen pants new,40,2,Reformation,New,bottoms,Poshmark
11,reformation julia crop high cigarette jean,99,31,Reformation,PreOwned,bottoms,Poshmark
12,reformation black molly jumpsuit,184,4,Reformation,PreOwned,jumpsuits,Poshmark
13,reformation green peach midi dress,149,8,Reformation,PreOwned,dresses,Poshmark
14,reformation red gingham mini skirt size 0,50,0,Reformation,PreOwned,bottoms,Poshmark
15,reformation ribbed mock neck 3/4 sleeve tee,20,L,Reformation,PreOwned,tops,Poshmark
16,nwt reformation cherry linen mini ots dress,95,S,Reformation,New,dresses,Poshmark
17,reformation olive green long sleeve wrap midi dres,100,S,Reformation,PreOwned,other,Poshmark
18,reformation navy blue halter evening gown,175,4,Reformation,PreOwned,other,Poshmark
19,reformation radford black metallic dress,109,S,Reformation,PreOwned,dresses,Poshmark
20,reformation wide leg pants,75,8,Reformation,PreOwned,bottoms,Poshmark
21,reformation jeans jordan kick flare size 30,75,30,Reformation,PreOwned,bottoms,Poshmark
22,reformation | high rise cropped cigarette jeans,95,29,Reformation,PreOwned,bottoms,Poshmark
23,reformation roper valley plaid jean size 29 b415,85,29,Reformation,PreOwned,other,Poshmark
24,reformation perry jean open leg black b628 nwot,95,27,Reformation,New,other,Poshmark
25,reformation poppy dress navy,259,0,Reformation,PreOwned,dresses,Poshmark
26,reformation domingo dress in black,165,0,Reformation,PreOwned,dresses,Poshmark
27,"reformation maxine white linen mini dress, size 10",200,10,Reformation,PreOwned,dresses,Poshmark
28,nwt reformation black spacey maxi sheer dress,89,S,Reformation,New,dresses,Poshmark
29,reformation thelma dress nwot size 6,145,6,Reformation,New,dresses,Poshmark
30,reformation shirley dress,75,XS,Reformation,PreOwned,dresses,Poshmark
31,reformation badlands jean jacket nwt,65,M,Reformation,New,outerwear,Poshmark
32,reformation | urban renewal clay mini shift dress,39,S,Reformation,New,dresses,Poshmark
33,nwt reformation maurie dress in aubergine size l,89,L,Reformation,New,dresses,Poshmark
34,reformation vintage soft leather shearling coat,112,S,Reformation,PreOwned,outerwear,Poshmark
35,reformation cory high waisted black skinny jeans,55,28,Reformation,PreOwned,bottoms,Poshmark
36,reformation sunset cap sleeve mini dress in iris,160,0,Reformation,PreOwned,dresses,Poshmark
37,reformation green cropped oversized t-shirt,30,L,Reformation,PreOwned,tops,Poshmark
38,reformation sydney dress size 12  navy blue mini,95,12,Reformation,PreOwned,dresses,Poshmark
39,nwt reformation fit flare lou midi dress,95,S,Reformation,New,dresses,Poshmark
40,reformation aida button down mini dress ochre xl,98,XL,Reformation,PreOwned,dresses,Poshmark
41,reformation purple lace up tunic shirt blouse,75,XXS,Reformation,PreOwned,tops,Poshmark
42,reformation maurita dress,125,0,Reformation,PreOwned,dresses,Poshmark
43,reformation petite raquel dress,100,2,Reformation,PreOwned,dresses,Poshmark
44,reformation sheer navy blue maxi dress - nwt,185,M,Reformation,New,dresses,Poshmark
45,7 pcs summer dresses bundle (pls read description),60,S,Reformation,PreOwned,dresses,Poshmark
46,reformation pants stripe noble,54,6,Reformation,PreOwned,bottoms,Poshmark
47,nwt reformation orca maxi sheer panel shift dress,70,S,Reformation,New,dresses,Poshmark
48,reformation tank maxi red dress size large,65,L,Reformation,PreOwned,tops,Poshmark
49,reformation off-shoulder long sleeve,30,XS,Reformation,PreOwned,other,Poshmark
50,reformation linen set,98,XS,Reformation,PreOwned,other,Poshmark
51,nwt reformation britta dress,180,4,Reformation,New,dresses,Poshmark
52,reformation gilda green jumpsuit,135,10,Reformation,PreOwned,jumpsuits,Poshmark
53,reformation serena melbourne destroyed jeans,61,29,Reformation,PreOwned,bottoms,Poshmark
54,reformation floral button down dress size 0,125,0,Reformation,PreOwned,dresses,Poshmark
55,reformation off the shoulder dress!,85,0,Reformation,PreOwned,dresses,Poshmark
56,reformation marina blue jumpsuit size 6b704,150,6,Reformation,PreOwned,jumpsuits,Poshmark
57,reformation chamomile maxi wrap dress,250,L,Reformation,PreOwned,dresses,Poshmark
58,reformation radford metallic dress large,75,L,Reformation,PreOwned,dresses,Poshmark
59,diane von furstenberg gennifer two linen pants new,40,2,Reformation,New,bottoms,Poshmark
60,reformation julia crop high cigarette jean,99,31,Reformation,PreOwned,bottoms,Poshmark
61,reformation black molly jumpsuit,184,4,Reformation,PreOwned,jumpsuits,Poshmark
62,reformation green peach midi dress,149,8,Reformation,PreOwned,dresses,Poshmark
63,reformation red gingham mini skirt size 0,50,0,Reformation,PreOwned,bottoms,Poshmark
64,reformation ribbed mock neck 3/4 sleeve tee,20,L,Reformation,PreOwned,tops,Poshmark
65,nwt reformation cherry linen mini ots dress,95,S,Reformation,New,dresses,Poshmark
66,reformation olive green long sleeve wrap midi dres,100,S,Reformation,PreOwned,other,Poshmark
67,reformation navy blue halter evening gown,175,4,Reformation,PreOwned,other,Poshmark
68,reformation radford black metallic dress,109,S,Reformation,PreOwned,dresses,Poshmark
69,reformation wide leg pants,75,8,Reformation,PreOwned,bottoms,Poshmark
70,reformation jeans jordan kick flare size 30,75,30,Reformation,PreOwned,bottoms,Poshmark
71,reformation | high rise cropped cigarette jeans,95,29,Reformation,PreOwned,bottoms,Poshmark
72,reformation roper valley plaid jean size 29 b415,85,29,Reformation,PreOwned,other,Poshmark
73,reformation perry jean open leg black b628 nwot,95,27,Reformation,New,other,Poshmark
74,reformation poppy dress navy,259,0,Reformation,PreOwned,dresses,Poshmark
75,reformation domingo dress in black,165,0,Reformation,PreOwned,dresses,Poshmark
76,"reformation maxine white linen mini dress, size 10",200,10,Reformation,PreOwned,dresses,Poshmark
77,nwt reformation black spacey maxi sheer dress,89,S,Reformation,New,dresses,Poshmark
78,reformation thelma dress nwot size 6,145,6,Reformation,New,dresses,Poshmark
