,Summary,Price,Brand,Condition,Category,Site
0,"sold  sep 16, 2019lululemon quarter legnth jacket size 8",25.00,lululemon,PreOwned,outerwear,eBay
1,"sold  sep 16, 2019lululemon commission warpstreme men’s shorts 36 true navy",35.00,lululemon,PreOwned,bottoms,eBay
2,"sold  sep 16, 2019euc lululemon pace setter skirt white tennis run golf train size 4 tall",44.99,lululemon,PreOwned,bottoms,eBay
3,"sold  sep 16, 2019lululemon knot gonna fly tee hood modern stripe heathered black size 2",29.99,lululemon,PreOwned,tops,eBay
4,"sold  sep 16, 2019lululemon core shorts men’s medium",34.00,lululemon,PreOwned,bottoms,eBay
5,"sold  sep 16, 2019lululemon 10-sculpt tank ii- black",25.50,lululemon,PreOwned,tops,eBay
6,"sold  sep 16, 2019lululemon olive green joggers - size large - barely worn! (retail $128)",44.00,lululemon,PreOwned,other,eBay
7,"sold  sep 16, 2019lululemon first mile tech tight fleece cold weather leggings black sz 8",59.99,lululemon,PreOwned,bottoms,eBay
8,"sold  sep 16, 2019mens lululemon black pullover crew sweater sz l",40.49,lululemon,PreOwned,outerwear,eBay
9,"sold  sep 16, 2019lululemon shorts mens small good condition",35.76,lululemon,PreOwned,bottoms,eBay
10,"sold  sep 16, 2019lululemon tank & bra 2 white scrappy back",5.20,lululemon,PreOwned,tops,eBay
11,"sold  sep 16, 2019lululemon hooded work out track jacket thumb holes size 10 ",44.99,lululemon,PreOwned,outerwear,eBay
12,"sold  sep 16, 2019lululemon women’s black short sz 2",14.00,lululemon,PreOwned,bottoms,eBay
13,"sold  sep 16, 2019lululemon capri leggings gray grey sz 2",23.50,lululemon,PreOwned,bottoms,eBay
14,"sold  sep 16, 2019lululemon run pacesetter skirt sz 6 cadet blue stripe pace setter skort",43.16,lululemon,PreOwned,bottoms,eBay
15,"sold  sep 16, 2019lululemon awareness wrap hoodie jacket black w/ purple dip dye lining sz 4 rare",54.99,lululemon,PreOwned,outerwear,eBay
16,"sold  sep 16, 2019lululemon wunder under cropped leggings black womens size 8",39.99,lululemon,PreOwned,bottoms,eBay
17,"sold  sep 16, 2019mint worn 2x men's lululemon free style polo light blue golf size x large xl",25.99,lululemon,PreOwned,other,eBay
