,Summary,Price,Brand,Condition,Category,Site
0,"sold  sep 16, 2019reformation grilfriend collective high rise size medium compressive pink legging",39.99,Reformation,PreOwned,other,eBay
1,"sold  sep 16, 2019reformation jeans size xs ribbed tencel mock neck mini dress black ",14.80,Reformation,PreOwned,bottoms,eBay
2,"sold  sep 16, 2019reformation bea skirt (4)",103.28,Reformation,PreOwned,bottoms,eBay
3,"sold  sep 15, 2019reformation york white linen jacket s",43.61,Reformation,PreOwned,outerwear,eBay
4,"sold  sep 15, 2019reformation navy rena dress | women’s size 10 | retails for $218",40.00,Reformation,PreOwned,dresses,eBay
5,"sold  sep 15, 2019christy dawn maxi long sleeves euc dress - size s burgundy reformation doen",126.50,Reformation,PreOwned,dresses,eBay
6,"sold  sep 15, 2019reformation haven wrap maxi floral dress",59.00,Reformation,PreOwned,dresses,eBay
7,"sold  sep 15, 2019reformation cynthia high rise daisy embroidered rigid washed black jeans 26p",45.00,Reformation,PreOwned,bottoms,eBay
8,"sold  sep 15, 2019reformation mini dress pink linen size 0",19.00,Reformation,PreOwned,dresses,eBay
9,"sold  sep 15, 2019 reformation - sydney sweetheart minidress size 4 $218 retail blue",100.00,Reformation,PreOwned,dresses,eBay
10,"sold  sep 15, 2019reformation nikita dress size m/l size 10 ",175.00,Reformation,PreOwned,dresses,eBay
11,"sold  sep 15, 2019reformation womens v neck tie front velvet long sleeve blouse red size medium",29.99,Reformation,PreOwned,other,eBay
12,"sold  sep 15, 2019reformation grlfrnd pistola womens slim leg jeans grey medium wash size 27 lot 3",91.00,Reformation,PreOwned,bottoms,eBay
13,"sold  sep 15, 2019reformation frankie black playsuit size us8/uk12",24.92,Reformation,PreOwned,other,eBay
14,"sold  sep 15, 2019reformation silk camisole top size m",28.00,Reformation,PreOwned,tops,eBay
15,"sold  sep 15, 2019reformation black white striped long sleeve rib knit scoop neck top medium",45.99,Reformation,PreOwned,tops,eBay
16,"sold  sep 15, 2019reformation high & skinny jeans black denim-size 26",19.99,Reformation,PreOwned,bottoms,eBay
17,"sold  sep 15, 2019reformation long blue dress - size 4. uk8",17.44,Reformation,PreOwned,dresses,eBay
18,"sold  sep 15, 2019women's reformation v-neck black stripe shirt top long sleeve flax tencel sz m",17.99,Reformation,PreOwned,tops,eBay
19,"sold  sep 15, 2019reformation rooney striped dress size xs",60.00,Reformation,PreOwned,dresses,eBay
20,"sold  sep 15, 2019reformation reformed floral print maxi dress urban outfitters",18.69,Reformation,PreOwned,dresses,eBay
21,"sold  sep 15, 2019reformation silk dress",111.99,Reformation,PreOwned,dresses,eBay
22,"sold  sep 15, 2019reformation navy slub wrap crop top s 8",10.59,Reformation,PreOwned,tops,eBay
23,"sold  sep 15, 2019reformation super high waisted black slim trousers size 8",23.67,Reformation,PreOwned,other,eBay
24,"sold  sep 15, 2019reformation black red hibiscus 🌺 tropical floral wrap midi dress deep v s small",119.99,Reformation,PreOwned,dresses,eBay
25,"sold  sep 14, 2019reformation gray womens knit turtleneck sweater size medium",35.00,Reformation,PreOwned,outerwear,eBay
26,"sold  sep 14, 2019alternative reformation barneys new york womens sweater blouses size small lot 3",29.99,Reformation,PreOwned,outerwear,eBay
27,"sold  sep 14, 2019reformation siesta dress red small polka dot  midi smocked ",150.00,Reformation,PreOwned,dresses,eBay
28,"sold  sep 14, 2019levis get into trouble reformation redone jean denim",30.00,Reformation,PreOwned,other,eBay
29,"sold  sep 14, 2019reformation robinson dress us4 uk8 ",24.91,Reformation,PreOwned,dresses,eBay
30,"sold  sep 14, 2019levis x reformation vintage denim jeans 501 31” distressed damaged",100.00,Reformation,PreOwned,bottoms,eBay
31,"sold  sep 14, 2019reformation floral mini dress with open back size s small black green",44.00,Reformation,PreOwned,dresses,eBay
32,"sold  sep 13, 2019reformation black silk tank top size small",19.00,Reformation,PreOwned,tops,eBay
33,"sold  sep 13, 2019reformation pink daisey dress 0 nwt",19.00,Reformation,PreOwned,dresses,eBay
34,"sold  sep 13, 2019reformed womens polka dot tie front v neck cropped blouse red size medium",29.99,Reformation,PreOwned,bottoms,eBay
35,"sold  sep 13, 2019reformation kat snakeskin print dress s",35.00,Reformation,PreOwned,dresses,eBay
36,"sold  sep 13, 2019$218 reformation hattie ruffle button front blue linen dress sz 4",65.00,Reformation,PreOwned,dresses,eBay
