,Summary,Price,Size,Brand,Condition,Category,Site
0,lululemon pace rival crop 22”,60,6,lululemon,PreOwned,bottoms,Poshmark
1,lulu lemon backpack,20,OS,lululemon,PreOwned,bag,Poshmark
2,lululemon scuba sparkle iii lavender hoodie,10,4,lululemon,PreOwned,outerwear,Poshmark
3,maroon lululemon shorts,32,6,lululemon,PreOwned,bottoms,Poshmark
4,lululemon sports bra,15,6,lululemon,PreOwned,bras,Poshmark
5,lululemon cropped leggings,15,2,lululemon,PreOwned,bottoms,Poshmark
6,lululemon hotty hot shorts,30,6,lululemon,PreOwned,bottoms,Poshmark
7,lot of 9 pairs of lululemon shorts,94,8,lululemon,PreOwned,bottoms,Poshmark
8,lululemon wunder under leggings,20,6,lululemon,PreOwned,bottoms,Poshmark
9,lulu leggings loose fit size pockets pant,15,Loose Fit maybe12-14,lululemon,PreOwned,bottoms,Poshmark
10,""" festival bag "" can be used as purse for everyday",20,OS,lululemon,PreOwned,accessories,Poshmark
11,lululemon wunder under leggings,20,6,lululemon,PreOwned,bottoms,Poshmark
12,"lululemon on the fly short 2.5""",46,6,lululemon,PreOwned,bottoms,Poshmark
13,lululemon leggings,17,8,lululemon,PreOwned,bottoms,Poshmark
14,lululemon free to be wild bra size 6,30,6,lululemon,PreOwned,bras,Poshmark
15,"lululemon 25"" align legging",55,6,lululemon,PreOwned,other,Poshmark
16,lululemon bra,15,6,lululemon,PreOwned,bras,Poshmark
17,lululemon zip up size 4,16,4,lululemon,PreOwned,other,Poshmark
18,lululemon reusable totes,15,OS,lululemon,PreOwned,bag,Poshmark
19,lululemon shorts,35,4,lululemon,PreOwned,bottoms,Poshmark
20,lululemon shorts,30,6,lululemon,PreOwned,bottoms,Poshmark
21,🍋 lululemon - wide headband - purple/black,12,OS,lululemon,PreOwned,accessories,Poshmark
22,lulu lemon speed up short 2.5”,40,4,lululemon,PreOwned,bottoms,Poshmark
23,lululemon size 12 gray long sleeve shirt,20,12,lululemon,PreOwned,tops,Poshmark
24,floral lululemon shorts,10,2,lululemon,PreOwned,bottoms,Poshmark
25,gray lulu lemon shorts,28,2,lululemon,PreOwned,bottoms,Poshmark
26,nwot black lululemon wunder under leggings,20,6,lululemon,New,bottoms,Poshmark
27,lululemon black hoodie size 4,40,4,lululemon,PreOwned,outerwear,Poshmark
28,lululemon groove flare yoga pants charcoal grey,30,12,lululemon,PreOwned,bottoms,Poshmark
29,lululemon athletica tight fit short sleeve shirt,20,6,lululemon,PreOwned,tops,Poshmark
30,lululemon ruffles side tank with back crossing 8,25,8,lululemon,PreOwned,tops,Poshmark
31,lululeman two tops,3,8,lululemon,PreOwned,tops,Poshmark
32,lululeman two tops,3,8,lululemon,PreOwned,tops,Poshmark
33,lululemon turtleneck,13,8,lululemon,PreOwned,outerwear,Poshmark
34,lululemon jacket 10,80,10,lululemon,PreOwned,outerwear,Poshmark
35,lululemon pants,20,4,lululemon,PreOwned,bottoms,Poshmark
36,lululemon athletica muscle tank,20,8,lululemon,PreOwned,tops,Poshmark
37,light blue lululemon tank,13,6,lululemon,PreOwned,tops,Poshmark
38,lululemon black sport bra tank top,17,6,lululemon,PreOwned,tops,Poshmark
39,lululemon shorts,25,4,lululemon,PreOwned,bottoms,Poshmark
40,lululemon sport headbands,12,OS,lululemon,PreOwned,accessories,Poshmark
41,lululemon energy bra,20,8,lululemon,PreOwned,bras,Poshmark
42,lululemon saize 6,14,6,lululemon,PreOwned,other,Poshmark
43,lululemon down running jacket,22,4,lululemon,PreOwned,outerwear,Poshmark
44,lululemon short!!,10,4,lululemon,PreOwned,bottoms,Poshmark
45,lululemon saize 2,18,2,lululemon,PreOwned,other,Poshmark
46,lululemon saize 10,16,10,lululemon,PreOwned,other,Poshmark
47,lululemon free to be bra (first release),20,6,lululemon,PreOwned,bras,Poshmark
48,lululemon pace rival crop 22”,60,6,lululemon,PreOwned,bottoms,Poshmark
49,lulu lemon backpack,20,OS,lululemon,PreOwned,bag,Poshmark
50,lululemon scuba sparkle iii lavender hoodie,10,4,lululemon,PreOwned,outerwear,Poshmark
51,maroon lululemon shorts,32,6,lululemon,PreOwned,bottoms,Poshmark
52,lululemon sports bra,15,6,lululemon,PreOwned,bras,Poshmark
53,lululemon cropped leggings,15,2,lululemon,PreOwned,bottoms,Poshmark
54,lululemon hotty hot shorts,30,6,lululemon,PreOwned,bottoms,Poshmark
55,lot of 9 pairs of lululemon shorts,94,8,lululemon,PreOwned,bottoms,Poshmark
56,lululemon wunder under leggings,20,6,lululemon,PreOwned,bottoms,Poshmark
57,lulu leggings loose fit size pockets pant,15,Loose Fit maybe12-14,lululemon,PreOwned,bottoms,Poshmark
58,""" festival bag "" can be used as purse for everyday",20,OS,lululemon,PreOwned,accessories,Poshmark
59,lululemon wunder under leggings,20,6,lululemon,PreOwned,bottoms,Poshmark
60,"lululemon on the fly short 2.5""",46,6,lululemon,PreOwned,bottoms,Poshmark
61,lululemon leggings,17,8,lululemon,PreOwned,bottoms,Poshmark
62,lululemon free to be wild bra size 6,30,6,lululemon,PreOwned,bras,Poshmark
63,"lululemon 25"" align legging",55,6,lululemon,PreOwned,other,Poshmark
64,lululemon bra,15,6,lululemon,PreOwned,bras,Poshmark
65,lululemon zip up size 4,16,4,lululemon,PreOwned,other,Poshmark
